date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:21	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2002%20Apr%202023%2022:01:22%20GMT	https://checkout-8366b5.webflow.io/robots.txt		(from )
00:01:22	9533/9533	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Apr%202023%2022:01:22%20GMT	https://checkout-8366b5.webflow.io/	C:/My%20Web%20Sites/checkout/checkout-8366b5.webflow.io/index.html	(from )
00:01:22	48108/48108	---M-Z	200	added ('OK')	text/css	etag:%221020e62e8dcb14a4bcedc5e7d78a48bc%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/css/checkout-8366b5.webflow.bb89e5c3d.css	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/css/checkout-8366b5.webflow.bb89e5c3d.css	(from https://checkout-8366b5.webflow.io/)
00:01:23	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/checkout/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://checkout-8366b5.webflow.io/)
00:01:23	16075/16075	---M--	200	added ('OK')	image/png	etag:%22952d6bf56e41042684a485f90eb4f34f%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429fa7af54066641d7eaf6d_tamomm.png	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429fa7af54066641d7eaf6d_tamomm.png	(from https://checkout-8366b5.webflow.io/)
00:01:24	25825/25825	---M--	200	added ('OK')	image/png	etag:%226b5b32b4a49b0c2dd11facf23125842a%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429fa7b972b9e155ddceffd_asda.png	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429fa7b972b9e155ddceffd_asda.png	(from https://checkout-8366b5.webflow.io/)
00:01:24	129682/129682	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fa92-186e5bb93e8%22	https://api.memberstack.io/static/memberstack.js?webflow	C:/My%20Web%20Sites/checkout/api.memberstack.io/static/memberstackdee6.js	(from https://checkout-8366b5.webflow.io/)
00:01:25	43545/43545	---M--	200	added ('OK')	image/png	etag:%22775a0c10afad64709f7d32808a4051fc%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429ef33d5a081479e52b52b_waut-2%20copy.png	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429ef33d5a081479e52b52b_waut-2%20copy.png	(from https://checkout-8366b5.webflow.io/)
00:01:25	48578/48578	---M--	200	added ('OK')	image/png	etag:%225536044dcb7dcab90da253e6cb2d6dfe%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429efea972b9e8756dc11a9_PayPal-Symbol%20copy.png	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429efea972b9e8756dc11a9_PayPal-Symbol%20copy.png	(from https://checkout-8366b5.webflow.io/)
00:01:25	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=6429ef02e727412c95457c2a	C:/My%20Web%20Sites/checkout/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c89850.js	(from https://checkout-8366b5.webflow.io/)
00:01:26	124317/124317	---M-Z	200	added ('OK')	text/javascript	etag:%229ddb880b538ce9e713cbc95a5e2a56d8%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/js/webflow.7b6e803b4.js	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/js/webflow.7b6e803b4.js	(from https://checkout-8366b5.webflow.io/)
00:01:27	249868/249868	---M--	200	added ('OK')	image/jpeg	etag:%22954e32d975e0cb457e5a7d75675a529e%22	https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429ef02e72741447b457c68_Screen%20Shot%202022-07-26%20at%201.08.03%20PM.jpg	C:/My%20Web%20Sites/checkout/uploads-ssl.webflow.com/6429ef02e727412c95457c2a/6429ef02e72741447b457c68_Screen%20Shot%202022-07-26%20at%201.08.03%20PM.jpg	(from https://uploads-ssl.webflow.com/6429ef02e727412c95457c2a/css/checkout-8366b5.webflow.bb89e5c3d.css)
